DATE,IRLTLT01USM156N
1990-01-01,8.21
1990-02-01,8.47
1990-03-01,8.59
1990-04-01,8.79
1990-05-01,8.76
1990-06-01,8.48
1990-07-01,8.47
1990-08-01,8.75
1990-09-01,8.89
1990-10-01,8.72
1990-11-01,8.39
1990-12-01,8.08
1991-01-01,8.09
1991-02-01,7.85
1991-03-01,8.11
1991-04-01,8.04
1991-05-01,8.07
1991-06-01,8.28
1991-07-01,8.27
1991-08-01,7.9
1991-09-01,7.65
1991-10-01,7.53
1991-11-01,7.42
1991-12-01,7.09
1992-01-01,7.03
1992-02-01,7.34
1992-03-01,7.54
1992-04-01,7.48
1992-05-01,7.39
1992-06-01,7.26
1992-07-01,6.84
1992-08-01,6.59
1992-09-01,6.42
1992-10-01,6.59
1992-11-01,6.87
1992-12-01,6.77
1993-01-01,6.6
1993-02-01,6.26
1993-03-01,5.98
1993-04-01,5.97
1993-05-01,6.04
1993-06-01,5.96
1993-07-01,5.81
1993-08-01,5.68
1993-09-01,5.36
1993-10-01,5.33
1993-11-01,5.72
1993-12-01,5.77
1994-01-01,5.75
1994-02-01,5.97
1994-03-01,6.48
1994-04-01,6.97
1994-05-01,7.18
1994-06-01,7.1
1994-07-01,7.3
1994-08-01,7.24
1994-09-01,7.46
1994-10-01,7.74
1994-11-01,7.96
1994-12-01,7.81
1995-01-01,7.78
1995-02-01,7.47
1995-03-01,7.2
1995-04-01,7.06
1995-05-01,6.63
1995-06-01,6.17
1995-07-01,6.28
1995-08-01,6.49
1995-09-01,6.2
1995-10-01,6.04
1995-11-01,5.93
1995-12-01,5.71
1996-01-01,5.65
1996-02-01,5.81
1996-03-01,6.27
1996-04-01,6.51
1996-05-01,6.74
1996-06-01,6.91
1996-07-01,6.87
1996-08-01,6.64
1996-09-01,6.83
1996-10-01,6.53
1996-11-01,6.2
1996-12-01,6.3
1997-01-01,6.58
1997-02-01,6.42
1997-03-01,6.69
1997-04-01,6.89
1997-05-01,6.71
1997-06-01,6.49
1997-07-01,6.22
1997-08-01,6.3
1997-09-01,6.21
1997-10-01,6.03
1997-11-01,5.88
1997-12-01,5.81
1998-01-01,5.54
1998-02-01,5.57
1998-03-01,5.65
1998-04-01,5.64
1998-05-01,5.65
1998-06-01,5.5
1998-07-01,5.46
1998-08-01,5.34
1998-09-01,4.81
1998-10-01,4.53
1998-11-01,4.83
1998-12-01,4.65
1999-01-01,4.72
1999-02-01,5
1999-03-01,5.23
1999-04-01,5.18
1999-05-01,5.54
1999-06-01,5.9
1999-07-01,5.79
1999-08-01,5.94
1999-09-01,5.92
1999-10-01,6.11
1999-11-01,6.03
1999-12-01,6.28
2000-01-01,6.66
2000-02-01,6.52
2000-03-01,6.26
2000-04-01,5.99
2000-05-01,6.44
2000-06-01,6.1
2000-07-01,6.05
2000-08-01,5.83
2000-09-01,5.8
2000-10-01,5.74
2000-11-01,5.72
2000-12-01,5.24
2001-01-01,5.16
2001-02-01,5.1
2001-03-01,4.89
2001-04-01,5.14
2001-05-01,5.39
2001-06-01,5.28
2001-07-01,5.24
2001-08-01,4.97
2001-09-01,4.73
2001-10-01,4.57
2001-11-01,4.65
2001-12-01,5.09
2002-01-01,5.04
2002-02-01,4.91
2002-03-01,5.28
2002-04-01,5.21
2002-05-01,5.16
2002-06-01,4.93
2002-07-01,4.65
2002-08-01,4.26
2002-09-01,3.87
2002-10-01,3.94
2002-11-01,4.05
2002-12-01,4.03
2003-01-01,4.05
2003-02-01,3.9
2003-03-01,3.81
2003-04-01,3.96
2003-05-01,3.57
2003-06-01,3.33
2003-07-01,3.98
2003-08-01,4.45
2003-09-01,4.27
2003-10-01,4.29
2003-11-01,4.3
2003-12-01,4.27
2004-01-01,4.15
2004-02-01,4.08
2004-03-01,3.83
2004-04-01,4.35
2004-05-01,4.72
2004-06-01,4.73
2004-07-01,4.5
2004-08-01,4.28
2004-09-01,4.13
2004-10-01,4.1
2004-11-01,4.19
2004-12-01,4.23
2005-01-01,4.22
2005-02-01,4.17
2005-03-01,4.5
2005-04-01,4.34
2005-05-01,4.14
2005-06-01,4
2005-07-01,4.18
2005-08-01,4.26
2005-09-01,4.2
2005-10-01,4.46
2005-11-01,4.54
2005-12-01,4.47
2006-01-01,4.42
2006-02-01,4.57
2006-03-01,4.72
2006-04-01,4.99
2006-05-01,5.11
2006-06-01,5.11
2006-07-01,5.09
2006-08-01,4.88
2006-09-01,4.72
2006-10-01,4.73
2006-11-01,4.6
2006-12-01,4.56
2007-01-01,4.76
2007-02-01,4.72
2007-03-01,4.56
2007-04-01,4.69
2007-05-01,4.75
2007-06-01,5.1
2007-07-01,5
2007-08-01,4.67
2007-09-01,4.52
2007-10-01,4.53
2007-11-01,4.15
2007-12-01,4.1
2008-01-01,3.74
2008-02-01,3.74
2008-03-01,3.51
2008-04-01,3.68
2008-05-01,3.88
2008-06-01,4.1
2008-07-01,4.01
2008-08-01,3.89
2008-09-01,3.69
2008-10-01,3.81
2008-11-01,3.53
2008-12-01,2.42
2009-01-01,2.52
2009-02-01,2.87
2009-03-01,2.82
2009-04-01,2.93
2009-05-01,3.29
2009-06-01,3.72
2009-07-01,3.56
2009-08-01,3.59
2009-09-01,3.4
2009-10-01,3.39
2009-11-01,3.4
2009-12-01,3.59
2010-01-01,3.73
2010-02-01,3.69
2010-03-01,3.73
2010-04-01,3.85
2010-05-01,3.42
2010-06-01,3.2
2010-07-01,3.01
2010-08-01,2.7
2010-09-01,2.65
2010-10-01,2.54
2010-11-01,2.76
2010-12-01,3.29
2011-01-01,3.39
2011-02-01,3.58
2011-03-01,3.41
2011-04-01,3.46
2011-05-01,3.17
2011-06-01,3
2011-07-01,3
2011-08-01,2.3
2011-09-01,1.98
2011-10-01,2.15
2011-11-01,2.01
2011-12-01,1.98
2012-01-01,1.97
2012-02-01,1.97
2012-03-01,2.17
2012-04-01,2.05
2012-05-01,1.8
2012-06-01,1.62
2012-07-01,1.53
2012-08-01,1.68
2012-09-01,1.72
2012-10-01,1.75
2012-11-01,1.65
2012-12-01,1.72
2013-01-01,1.91
2013-02-01,1.98
2013-03-01,1.96
2013-04-01,1.76
2013-05-01,1.93
2013-06-01,2.3
2013-07-01,2.58
2013-08-01,2.74
2013-09-01,2.81
2013-10-01,2.62
2013-11-01,2.72
2013-12-01,2.9
2014-01-01,2.86
2014-02-01,2.71
2014-03-01,2.72
2014-04-01,2.71
2014-05-01,2.56
2014-06-01,2.6
2014-07-01,2.54
2014-08-01,2.42
2014-09-01,2.53
2014-10-01,2.3
2014-11-01,2.33
2014-12-01,2.21
2015-01-01,1.88
2015-02-01,1.98
2015-03-01,2.04
2015-04-01,1.94
2015-05-01,2.2
2015-06-01,2.36
2015-07-01,2.32
2015-08-01,2.17
2015-09-01,2.17
2015-10-01,2.07
2015-11-01,2.26
2015-12-01,2.24
2016-01-01,2.09
2016-02-01,1.78
2016-03-01,1.89
2016-04-01,1.81
2016-05-01,1.81
2016-06-01,1.64
2016-07-01,1.5
2016-08-01,1.56
2016-09-01,1.63
2016-10-01,1.76
2016-11-01,2.14
2016-12-01,2.49
2017-01-01,2.43
2017-02-01,2.42
2017-03-01,2.48
2017-04-01,2.3
2017-05-01,2.3
2017-06-01,2.19
2017-07-01,2.32
2017-08-01,2.21
2017-09-01,2.2
2017-10-01,2.36
2017-11-01,2.35
2017-12-01,2.4
2018-01-01,2.58
2018-02-01,2.86
2018-03-01,2.84
2018-04-01,2.87
2018-05-01,2.98
2018-06-01,2.91
2018-07-01,2.89
2018-08-01,2.89
2018-09-01,3.0
2018-10-01,3.15
2018-11-01,3.12
2018-12-01,2.83
2019-01-01,2.71
2019-02-01,2.68
2019-03-01,2.57
2019-04-01,2.53
2019-05-01,2.4
2019-06-01,2.07
2019-07-01,2.06
2019-08-01,1.63
2019-09-01,1.7
2019-10-01,1.71
2019-11-01,1.81
2019-12-01,1.86
2020-01-01,1.76
2020-02-01,1.5
2020-03-01,0.87
2020-04-01,0.66
2020-05-01,0.67
2020-06-01,0.73
2020-07-01,0.62
2020-08-01,0.65
2020-09-01,0.68
2020-10-01,0.79
2020-11-01,0.87
2020-12-01,0.93
2021-01-01,1.08
2021-02-01,1.26
2021-03-01,1.61
2021-04-01,1.64
2021-05-01,1.62
2021-06-01,1.52
2021-07-01,1.32
2021-08-01,1.28
2021-09-01,1.37
